"barcode" "fileName" "filePath" "project" "type" "mCG" "percentage"
"1" "TCGA-BT-A20V-11A-11D-A23D-05" "ResultCount_MERGING_1_NIC1254A95.hg19_rCRSchrm.fa.realign.mdups.recal.cpg.filtered.sort.CG.6plus2.fixed.bed" "./TCGA-BLCA/ResultCount_MERGING_1_NIC1254A95.hg19_rCRSchrm.fa.realign.mdups.recal.cpg.filtered.sort.CG.6plus2.fixed.bed" "TCGA-BLCA" "normal" "3960041" "0.8055032"
"2" "TCGA-DK-A1AA-01A-11D-A23D-05" "ResultCount_MERGING_1_NIC1254A96.hg19_rCRSchrm.fa.realign.mdups.recal.cpg.filtered.sort.CG.6plus2.fixed.bed" "./TCGA-BLCA/ResultCount_MERGING_1_NIC1254A96.hg19_rCRSchrm.fa.realign.mdups.recal.cpg.filtered.sort.CG.6plus2.fixed.bed" "TCGA-BLCA" "tumor" "2628413" "0.5325882"
"3" "TCGA-DK-A1AG-01A-11D-A23D-05" "ResultCount_MERGING_1_NIC1254A94.hg19_rCRSchrm.fa.realign.mdups.recal.cpg.filtered.sort.CG.6plus2.fixed.bed" "./TCGA-BLCA/ResultCount_MERGING_1_NIC1254A94.hg19_rCRSchrm.fa.realign.mdups.recal.cpg.filtered.sort.CG.6plus2.fixed.bed" "TCGA-BLCA" "tumor" "1433452" "0.6216471"
"4" "TCGA-BT-A2LA-01A-11D-A23D-05" "ResultCount_MERGING_1_NIC1254A93.hg19_rCRSchrm.fa.realign.mdups.recal.cpg.filtered.sort.CG.6plus2.fixed.bed" "./TCGA-BLCA/ResultCount_MERGING_1_NIC1254A93.hg19_rCRSchrm.fa.realign.mdups.recal.cpg.filtered.sort.CG.6plus2.fixed.bed" "TCGA-BLCA" "tumor" "2698284" "0.5523512"
"5" "TCGA-BT-A20V-01A-11D-A23D-05" "ResultCount_MERGING_1_NIC1254A91.hg19_rCRSchrm.fa.realign.mdups.recal.cpg.filtered.sort.CG.6plus2.fixed.bed" "./TCGA-BLCA/ResultCount_MERGING_1_NIC1254A91.hg19_rCRSchrm.fa.realign.mdups.recal.cpg.filtered.sort.CG.6plus2.fixed.bed" "TCGA-BLCA" "tumor" "2906009" "0.5938435"
"6" "TCGA-BL-A13J-01A-11D-A23D-05" "ResultCount_MERGING_1_NIC1254A89.hg19_rCRSchrm.fa.realign.mdups.recal.cpg.filtered.sort.CG.6plus2.fixed.bed" "./TCGA-BLCA/ResultCount_MERGING_1_NIC1254A89.hg19_rCRSchrm.fa.realign.mdups.recal.cpg.filtered.sort.CG.6plus2.fixed.bed" "TCGA-BLCA" "tumor" "3410649" "0.6917270"
"7" "TCGA-H4-A2HQ-01A-11D-A23D-05" "ResultCount_MERGING_1_NIC1254A92.hg19_rCRSchrm.fa.realign.mdups.recal.cpg.filtered.sort.CG.6plus2.fixed.bed" "./TCGA-BLCA/ResultCount_MERGING_1_NIC1254A92.hg19_rCRSchrm.fa.realign.mdups.recal.cpg.filtered.sort.CG.6plus2.fixed.bed" "TCGA-BLCA" "tumor" "2717893" "0.5572559"
"8" "TCGA-A8-A07I-01A-11D-A19F-05" "ResultCount_MERGING_1_NIC1254A16.hg19_rCRSchrm.fa.realign.mdups.recal.cpg.filtered.sort.CG.6plus2.fixed.bed" "./TCGA-BRCA/ResultCount_MERGING_1_NIC1254A16.hg19_rCRSchrm.fa.realign.mdups.recal.cpg.filtered.sort.CG.6plus2.fixed.bed" "TCGA-BRCA" "tumor" "3773324" "0.7547828"
"9" "TCGA-A2-A04X-01A-21D-A19F-05" "ResultCount_MERGING_1_NIC1254A15.hg19_rCRSchrm.fa.realign.mdups.recal.cpg.filtered.sort.CG.6plus2.fixed.bed" "./TCGA-BRCA/ResultCount_MERGING_1_NIC1254A15.hg19_rCRSchrm.fa.realign.mdups.recal.cpg.filtered.sort.CG.6plus2.fixed.bed" "TCGA-BRCA" "tumor" "3640269" "0.7272223"
"10" "TCGA-A2-A0YG-01A-21D-A19F-05" "ResultCount_MERGING_1_NIC1254A17.hg19_rCRSchrm.fa.realign.mdups.recal.cpg.filtered.sort.CG.6plus2.fixed.bed" "./TCGA-BRCA/ResultCount_MERGING_1_NIC1254A17.hg19_rCRSchrm.fa.realign.mdups.recal.cpg.filtered.sort.CG.6plus2.fixed.bed" "TCGA-BRCA" "tumor" "3976845" "0.7949690"
